image_name,width,height,patch_score
las_vegas2_p64_t0.3_n0_005,1280,720,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
ski2_p64_t0.5_n10_069,1080,1920,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0.5,0,0,0,1.0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
ski2_p64_t1.0_n20_003,1080,1920,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1.0,2.0,0,0,1.5,1.0,0,0,0.5,3.0,1.0,0,0,1.0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
ski2_p64_t1.0_n20_036,1080,1920,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,1.0,1.0,0.5,0,0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
ski2_p64_t1.0_n20_069,1080,1920,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,2,0,0.5,0,0,1.0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
ski3_p64_t0.3_n0_009,1080,1920,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0.5,1,0,0,1.0,0,1.0,0,0.5,0,0,2.5,1.0,0,0,0,0,0,0,0,0,0,0"
ski3_p64_t0.3_n0_032,1080,1920,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,3.5,1.0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0"
ski3_p64_t0.3_n0_068,1080,1920,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,1.0,0,0,0,0,0,1.5,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
ski3_p64_t0.5_n10_009,1080,1920,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,1.0,0.5,0,0.5,0,0,0,0,3.0,0.5,0,0,0,0,0,0,0,0,0,0"
ski3_p64_t0.5_n10_032,1080,1920,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1.5,0,0,0.5,0,3.0,0,0,0,0,0,0,1.0,0.5,0,0,0,0,0,0,0,0,0,0"
ski3_p64_t0.5_n10_068,1080,1920,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,0.5,1.0,0,0,1.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0"
ski3_p64_t1.0_n20_009,1080,1920,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0"
snow_falling_p64_t0.3_n0_003,1440,1080,"0,0,0,0.5,0.5,0.5,0.5,0,0.5,1.0,1.0,1.0,1.0,0,0,1.0,1.0,0.5,1.0,0.5,1.0,0,0,1.0,0,0.5,0.5,0,0,0,0,0,0,0,0"
fushimi_inari_shrine_p64_t0.3_n0_066,1080,1920,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
live_octopus_p64_t0.3_n0_019,960,720,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
robot_walking_p64_t0.3_n0_039,1080,1920,"0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
lighting1_p64_t1.0_n20_011,1920,1080,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0.5,1.0,0.5,1.0,0.5,0,0,0,0,1,0,0.5,1.0,0.5,0,0,0"
river_p64_t0.5_n10_003,720,960,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
concert2_p64_t1.0_n20_039,1920,1080,"0,0.5,0.5,3.0,4.5,0,0,0,0,0,4.5,3.0,5.0,2.0,4.0,1,0,0,0,4.0,3.5,3.5,4.0,4.5,2.5,0,3.5,1.5,0,1.5,3.5,4.0,4.0,2.5,0.5,0,3,2,4,2,4,4,3,2,0"
book_moving_p64_t0.3_n0_104,1080,1920,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0,0,0,0,3.5,0,0,0,0,3.0,0,0,0,0,1.5,0,0,0,0,1.5,1.0,1.0,0,0"
birds1_p64_t0.3_n0_011,1920,1080,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
line_moving_p64_t1.0_n20_018,1080,1920,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
grand_canyon1_p64_t0.5_n10_046,1280,720,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
art_rotating_p64_t0.5_n10_038,1920,1080,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
pouring_p64_t0.5_n10_008,720,1280,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
art_rotating_p64_t0.3_n0_038,1920,1080,"0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0"
fire_p64_t1.0_n20_058,720,1280,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
fushimi_inari_shrine_p64_t0.5_n10_050,1080,1920,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
firework2_p64_t0.5_n10_004,1080,1920,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
fish1_p64_t0.3_n0_016,1920,1080,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
indian_bob_p64_t0.5_n10_032,1080,1920,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
spinning_rides_p64_t1.0_n20_021,1080,1920,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
bamboo_tree_p64_t0.3_n0_003,1080,1920,"0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0"
tower_p64_t1.0_n20_023,720,1280,"2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
swimming_p64_t1.0_n20_058,1080,1920,"1,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
cherry_blossom_p64_t0.3_n0_057,1080,1920,"1.0,1.0,1.0,0,0,0.5,1.0,1.0,0.5,0,0.5,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
birds3_p64_t1.0_n20_021,1080,1920,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2.5,0,1.0,0,0.5,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
dancing_p64_t0.3_n0_013,1080,1920,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
build_log_p64_t1.0_n20_009,1080,1920,"0,0,0,0,0,2.5,3.0,3.5,2.0,0,3.5,3.5,3.5,1.5,0,1.5,3.5,3.5,0,2.5,0,3.5,4.0,4.0,4.0,3.0,2,2.5,1.0,1.5,2.0,3.0,3.5,3.0,2.5,1.5,1.5,0.5,0,0,0,0,0,0,0"
stanford_corridor_p64_t1.0_n20_061,1080,1920,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
ski3_p64_t1.0_n20_068,1080,1920,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1.5,0,0,0.5,0,0,0,0,0.5,0,0,0,0,1,0,0,0,0,0"
art_rotating_p64_t1.0_n20_038,1920,1080,"0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
griffith_observatory_p64_t0.5_n10_057,1280,720,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
tunnel_p64_t1.0_n20_038,1920,1080,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
snow_removal_vehicle_p64_t1.0_n20_014,1920,1080,"0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
fire_p64_t0.3_n0_058,720,1280,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
robot_coffee_p64_t0.3_n0_028,1080,1920,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
soccer2_p64_t0.3_n0_025,1920,1080,"0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,2.0,0,0,1.0,3.0,1.5,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0"
house_p64_t1.0_n20_036,1080,1920,"0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0"
tower_p64_t1.0_n20_014,720,1280,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0"
firework2_p64_t0.5_n10_026,1080,1920,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
museum_p64_t0.5_n10_054,1080,1920,"0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
train_p64_t0.5_n10_004,1920,1080,"1,0,0,4.0,0.5,0,0.5,0.5,2.5,0.5,0,0,4.5,4.0,3.5,1.5,1.0,4.5,1.0,1,0,4.5,4.5,3.5,2.0,1.5,0,0,0.5,0,1.0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0"
las_vegas2_p64_t0.3_n0_011,1280,720,"0,0,0,0,0,0,1.0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0"
live_octopus_p64_t0.3_n0_015,960,720,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
animals_p64_t1.0_n20_009,720,1280,"0,0,0,0,0.5,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
spinning_rides_p64_t0.5_n10_044,1080,1920,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0.5,0,0,0,0,0,0,0,1.0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5"
snow_falling_p64_t0.3_n0_014,1440,1080,"0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
indian_bob_p64_t0.3_n0_032,1080,1920,"0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1.5,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
passing_by_buildings_p64_t0.3_n0_059,720,1280,"0,2.5,0.5,0,0,2.0,1.0,0,0,2.5,2.5,1.5,0.5,3,3.0,2.5,0,0,2,0,0,0,1.5,0"
panda_p64_t0.5_n10_097,1280,720,"0,0,0,0,0.5,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
game_p64_t0.5_n10_012,1080,1920,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
busan_sea_train_p64_t1.0_n20_015,1920,1080,"3.0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,2.0,2.5,0,0,0,0,0,0,0,0,0,0"
concert4_p64_t0.5_n10_031,1920,1080,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
elevator_down_p64_t0.5_n10_001,1080,1440,"0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0"
birds1_p64_t0.5_n10_013,1920,1080,"0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
book_moving_p64_t0.5_n10_104,1080,1920,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,2.0,0,0,0,0,2.0,0,0,0,0,1.0,0,0,0,0,1.5,0,0.5,0,0"
newyear_firework_p64_t0.5_n10_065,1920,1080,"0,0,0,0,0,0,0,0,0,5.0,5.0,5.0,3.0,0,0,0,0,0,5.0,5.0,5.0,4.5,4.5,4.5,2.0,1.0,0,5.0,5.0,5.0,4.5,3.5,3.5,1.5,0,0,2.5,0,1.0,0,0,0,0,0,0"
train_passing_p64_t0.5_n10_037,1080,1920,"0.5,0.5,0,0,0,0,0,0,0,0,2,1.0,0.5,0,1.0,1.5,2,0,0,0,2.0,1.5,0,2.0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1"
bellagio_water_show_p64_t0.5_n10_074,1280,720,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
dancing_p64_t0.5_n10_013,1080,1920,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
las_vegas2_p64_t1.0_n20_002,1280,720,"0,0,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
walking_p64_t0.3_n0_028,1080,1920,"0,0,0,0,1.5,0,0,0,0,0.5,0,0,0,0,1.0,0,0,0,0,1.5,0,0,0.5,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
firework1_p64_t1.0_n20_018,1080,1920,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,3.5,2.5,0.5,5.0,3.5,0.5,0,0.5,3.5,2.0,0,0,0,0,0"
toy_robot_p64_t0.3_n0_027,1920,1080,"0,0,0,0.5,0,0,1.0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
firework1_p64_t0.3_n0_035,1080,1920,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
fish1_p64_t1.0_n20_049,1920,1080,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
concert1_p64_t0.5_n10_012,1920,1080,"0,0,0,3.0,2.5,0,0,0,0,1.5,0,4.0,4.0,5.0,2.5,2.5,1.0,0,0.5,0,1.0,3.0,4.0,2.5,3.0,0.5,0,1.5,1.5,2.0,2.5,3.0,2.5,0.5,0,0,0,0,0,3.5,2.5,1.5,1.0,0,0"
train_passing_p64_t0.3_n0_049,1080,1920,"0,0,0,0,0,0,0,0,0,0,0,0.5,1,0.5,0,1.0,2.5,0.5,0,0,1.5,0,0,0,3.0,0,0,0,0,1.0,0,0,0,0,0,1,0.5,0,0,0,0,0,2.0,1.0,0"
skate_board_p64_t0.5_n10_073,1080,1920,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
line_moving_p64_t0.3_n0_021,1080,1920,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
fish1_p64_t0.3_n0_019,1920,1080,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
running_on_log_p64_t0.3_n0_044,1920,1080,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0,0.5,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0"
firework1_p64_t0.5_n10_018,1080,1920,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,4.0,2.0,5.0,4.0,2.0,0,1.5,3.5,2.5,0,0,0,0,0"
pool_p64_t0.3_n0_012,1920,1080,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
concert2_p64_t0.3_n0_022,1920,1080,"0,0,0,0,0,0,0,0,0,0,0,2.5,4.0,2.5,1.0,0,0,0,0,3,2.0,2.0,2.0,2.0,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0"
dancing_p64_t1.0_n20_059,1080,1920,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
ski1_p64_t0.5_n10_007,1920,1080,"0,0,0,0,0,0,0,0,0,2,3,2.0,1.5,0,0,1.5,2.0,3.0,2.5,4.5,1,2.5,1.5,0,0.5,3.0,0.5,0,5.0,5.0,4.5,2.0,2.0,3.5,1.0,2.5,0,0,4.5,4.5,1.0,4.0,1,3.0,3.5"
fish2_p64_t0.3_n0_035,1080,1920,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
